p1; P 1
aem2(bca); Aem2 (bca)
aem2[bca]; Aem2 [bca]
ae2m; A e 2 m
aem2(a-cb); Aem2 (a-cb)
aem2[a-cb]; Aem2 [a-cb]
ama2; A m a 2
bbm2; B b m 2
ama2(ba-c); Ama2 (ba-c)
ama2[ba-c]; Ama2 [ba-c]
b2mb; B 2 m b
ama2(cab); Ama2 (cab)
ama2[cab]; Ama2 [cab]
c2cm; C 2 c m
ama2(-cba); Ama2 (-cba)
ama2[-cba]; Ama2 [-cba]
cc2m; C c 2 m
ama2(bca); Ama2 (bca)
ama2[bca]; Ama2 [bca]
am2a; A m 2 a
ama2(a-cb); Ama2 (a-cb)
ama2[a-cb]; Ama2 [a-cb]
aea2; A e a 2
bbe2; B b e 2
aea2(ba-c); Aea2 (ba-c)
aea2[ba-c]; Aea2 [ba-c]
b2eb; B 2 e b
aea2(cab); Aea2 (cab)
aea2[cab]; Aea2 [cab]
c2ce; C 2 c e
aea2(-cba); Aea2 (-cba)
aea2[-cba]; Aea2 [-cba]
cc2e; C c 2 e
aea2(bca); Aea2 (bca)
aea2[bca]; Aea2 [bca]
ae2a; A e 2 a
aea2(a-cb); Aea2 (a-cb)
aea2[a-cb]; Aea2 [a-cb]
fmm2; F m m 2
f2mm; F 2 m m
fmm2(cab); Fmm2 (cab)
fmm2[cab]; Fmm2 [cab]
fm2m; F m 2 m
fmm2(bca); Fmm2 (bca)
fmm2[bca]; Fmm2 [bca]
fdd2; F d d 2
f2dd; F 2 d d
fdd2(cab); Fdd2 (cab)
fdd2[cab]; Fdd2 [cab]
fd2d; F d 2 d
fdd2(bca); Fdd2 (bca)
fdd2[bca]; Fdd2 [bca]
imm2; I m m 2
i2mm; I 2 m m
imm2(cab); Imm2 (cab)
imm2[cab]; Imm2 [cab]
im2m; I m 2 m
imm2(bca); Imm2 (bca)
imm2[bca]; Imm2 [bca]
iba2; I b a 2
i2cb; I 2 c b
iba2(cab); Iba2 (cab)
iba2[cab]; Iba2 [cab]
ic2a; I c 2 a
iba2(bca); Iba2 (bca)
iba2[bca]; Iba2 [bca]
ima2; I m a 2
ibm2; I b m 2
ima2(ba-c); Ima2 (ba-c)
ima2[ba-c]; Ima2 [ba-c]
i2mb; I 2 m b
ima2(cab); Ima2 (cab)
ima2[cab]; Ima2 [cab]
i2cm; I 2 c m
ima2(-cba); Ima2 (-cba)
